trial,category,object_name,required_force_N,damage_limit_N,actual_force_N,outcome,timestamp
89,0.8,Very Robust,9.418,80.0,4.109,SUCCESS,15:14:11
90,0.8,Very Robust,9.418,80.0,4.198,SUCCESS,15:14:18
91,0.8,Very Robust,9.418,80.0,3.753,FAIL,15:14:25
92,0.8,Very Robust,9.418,80.0,4.268,SUCCESS,15:14:33
93,0.8,Very Robust,9.418,80.0,4.283,SUCCESS,15:14:40
94,0.8,Very Robust,9.418,80.0,4.283,SUCCESS,15:14:42
95,0.8,Very Robust,9.418,80.0,4.281,SUCCESS,15:14:50
96,0.8,Very Robust,9.418,80.0,4.261,SUCCESS,15:14:57
97,0.8,Very Robust,9.418,80.0,4.27,SUCCESS,15:15:18
98,0.8,Very Robust,9.418,80.0,3.992,SUCCESS,15:15:28
99,0.8,Very Robust,9.418,80.0,4.261,FAIL,15:15:38
100,0.8,Very Robust,9.418,80.0,3.67,SUCCESS,15:15:48
